"id";"first_name";"last_name";"email";"password";"sex";"imageUrl";"createdAt";"updatedAt"
1;"Petr";"Kondratev";"jimbo@yahoo.com";"$2a$12$CxedVIL7bykRuurQ4X43b.rYJOIAwHZPcAZrZos5y8QT.3r7e9Bt6";"F";"not set";"2023-03-03 11:20:44";"2023-03-03 11:22:06"
2;"Jimbo";"";"jimbo@test.com";"$2a$12$lKgFEZv9q4N1sSB2UzCgGu.GjxzFOipEucQyT8DfQxtRkhf.mVPeC";"";"not set";"2023-03-03 11:21:32";"2023-03-03 11:21:32"
4;"Jimbo";"";"jimbo1@test.com";"$2a$12$fTPZpZ6i6W03ZBEuVCwC9OsqQPRMh9dmeLFBrfcsxfYI82uvfoYrK";"";"not set";"2023-03-03 11:23:11";"2023-03-03 11:23:11"
5;"Jimbo";"";"jimbo13@test.com";"$2a$12$gcCt31Q2muuKZeslcRls0euGtMRlZ05JrWGt1f32iZ7id2MZzEUKW";"";"not set";"2023-03-03 11:23:14";"2023-03-03 11:23:14"
6;"Jimbo";"";"jimbo123@test.com";"$2a$12$kT28MTntHdXfggOoS.1ze.mPLS4B3uWiR9GfelDSC.NAfcwljo1NS";"";"not set";"2023-03-03 11:23:16";"2023-03-03 11:23:16"
7;"Jimbo";"";"jimbo134@test.com";"$2a$12$kXQab1arHO9sJgkQeiw/AeW6yEBWDDL4kF5PJW0f1Qp7Pd60s8.LO";"";"not set";"2023-03-03 11:23:19";"2023-03-03 11:23:19"
8;"Jimbo";"";"jimbo156@test.com";"$2a$12$qF/nJBPCz89/y1K2ni0h0.zpVQ4m5J876gA5ImoSbW8I0bgkSWi/u";"";"not set";"2023-03-03 11:23:23";"2023-03-03 11:23:23"
9;"Jimbo";"";"jimbo33@test.com";"$2a$12$A5zXa5xVGDmPbP9z6SoCS.0w1EdyopaqleNwJu9CuBj7mDpNEB3lG";"";"not set";"2023-03-03 11:23:27";"2023-03-03 11:23:27"
10;"Jimbo";"";"jimbo23@test.com";"$2a$12$qBd2MJk.ipgTKfRSRuRmJOzfxDph1lUerh383bORXMOqzw3coft7G";"";"not set";"2023-03-03 11:23:30";"2023-03-03 11:23:30"
11;"Jimbo";"";"jimbo223@test.com";"$2a$12$0vmbELHzi2FctytRJTFr/.5I/v/Gq/jfSdEw9svBYrtmZRDHy644C";"";"not set";"2023-03-03 11:23:33";"2023-03-03 11:23:33"
